BuildingId,Id,FloorName,GIA,tableDate
69,257,RH G,329.7999878,31/10/2017
76,308,JR7,56.81000137,31/08/2015
9,26,CS2,3350,30/11/2015
31,335,T5 MEZZ,0,31/10/2016
24,103,PLG,585.2999878,30/06/2012
20,285,QSBB,40.27000046,31/12/2015
32,48,X1,1263,31/05/2014
76,306,JR4,56.79999924,31/05/2016
80,313,FSDG,462.6799927,31/07/2015
75,279,qs2,515.2600098,31/05/2013
9,36,SB7,1437,31/05/2016
76,309,JR8,0,28/02/2015
9,8,CS3,3069,31/05/2014
67,251,CAB 3,1036.900024,31/12/2013
57,220,PS2,456.8699951,30/11/2017
28,109,SH2,123.4000015,31/01/2012
40,141,LS1,1265.869995,31/05/2018
69,259,RH 2,331.1199951,30/06/2015
2,3,BICG,1269.099976,31/12/2017
9,9,SB8,873,30/11/2016
40,142,LS2,1261.209961,30/09/2014
9,12,SB11,393.8800049,31/05/2016
20,290,QSBG MEZ,56.52999878,31/08/2016
24,198,PLT2,17.39999962,30/09/2012
2,4,BIC1,1257.069946,31/10/2013
57,222,MBB,375.1000061,30/06/2012
21,97,QSA,710.1900024,30/04/2017
78,300,SC6,238.2200012,31/08/2014
80,313,FSDG,462.6799927,30/09/2015
81,316,BHG,321.1700134,29/02/2016
19,71,RG,2028.5,31/10/2017
27,106,RH1,409,31/01/2012
32,47,XG,1437.400024,31/08/2012
9,207,SB15 ROOF PLANT,267,31/03/2017
57,222,PSB,361.7999878,30/06/2016
9,207,CS15 ROOF PLANT,267,31/05/2012
31,77,T3,1045.800049,31/01/2014
9,13,CS12,393.8800049,30/04/2015
4,42,BB,47.59999847,31/07/2012
31,185,TC,581.5,31/01/2018
7,27,CWG,2414.199951,30/06/2012
67,248,CAB G,1417.780029,31/10/2014
19,74,R3,350,31/03/2013
9,11,CS10,811,30/09/2013
6,124,CE4,870.6500244,28/02/2014
6,124,CE4,865.5,31/10/2012
37,116,HW1,1202.199951,31/07/2013
7,29,CW2,981.1699829,31/03/2016
9,207,CS15 ROOF PLANT,267,31/10/2013
21,97,QSA,710.1900024,28/02/2017
9,15,CS14,263.9299927,31/03/2016
6,80,CEG,975.7399902,30/09/2013
33,54,W2,1756,30/09/2013
85,328,JPG,3041.47998,30/09/2016
20,285,QSBB,40.27000046,30/04/2017
7,31,CW4,892.9500122,30/09/2014
24,197,PLT1,17.39999962,30/11/2012
37,117,HW2,1162.410034,31/01/2017
84,324,OA5,0,30/04/2017
78,299,Sc5,1446.5,31/01/2016
6,205,CE4PLANT,77.30000305,31/03/2015
68,253,UCON1,542.2000122,30/06/2012
33,53,W1,1573.719971,30/06/2016
72,269,CS3,1457.400024,31/01/2018
7,31,SJ4,892.789978,30/09/2017
75,278,qs1,829.4299927,30/11/2015
19,71,RG,2028.5,31/07/2014
40,140,LSG,1288,31/07/2012
24,198,PLT2,17.39999962,31/03/2016
31,335,T5 MEZZ,0,30/06/2016
9,26,CS2,3350,30/11/2012
2,4,BIC1,1257.069946,30/09/2015
71,264,EK3,242.8999939,31/08/2017
72,269,BS3,1457.400024,31/12/2014
69,258,RH 1,375.6700134,30/06/2015
52,210,JM2,353.8500061,30/04/2018
71,261,HHRB G,258.2200012,31/12/2013
33,53,W1,2539.620117,31/12/2014
37,115,HWG,1384.040039,28/02/2017
69,260,RH 1A,36.86000061,31/08/2013
40,141,LS1,1265.869995,31/01/2016
78,296,SC2,523.210022,31/10/2014
9,33,CS4,2861,30/06/2012
28,109,SH2,123.4000015,31/05/2013
18,119,RW,890,31/05/2016
76,282,JR2,0,31/01/2013
20,285,QSBB,40.27000046,31/01/2016
78,299,Sc5,1446.5,30/04/2017
9,10,SB9,811,31/01/2018
67,251,CAB 3,1021.140015,31/03/2017
75,277,qsg,820.5599976,31/10/2012
86,338,JPR1,0,31/10/2016
7,32,CW5,896.7999878,29/02/2012
76,283,JR5,0,30/09/2013
67,249,CAB 1,1502.949951,31/07/2015
76,310,JR9,54.93000031,31/10/2015
33,54,W2,1756,31/03/2013
9,8,CS3,3069,28/02/2014
19,70,RB,1156.640015,31/03/2017
28,111,SHG,478.6000061,31/08/2013
84,327,OA5.5,0,31/07/2016
31,77,T3,1045.800049,30/06/2015
54,218,SU2,377.8999939,29/02/2012
78,298,SC4,2816.820068,31/05/2017
40,142,LS2,1261.209961,28/02/2017
76,282,JR2,173.5,31/07/2016
31,185,TC,514,31/01/2012
6,83,CE3,866.4699707,31/07/2016
20,285,QSBB,40.27000046,28/02/2017
83,321,BL1,968.9099731,31/12/2017
72,268,BS2,1524.849976,29/02/2012
85,330,JP2,3036.23999,30/04/2017
21,97,QSA,707.1900024,30/06/2016
37,115,HWG,1361.400024,31/03/2013
40,140,LSG,1313.609985,31/12/2016
33,54,W2,2117.290039,30/04/2016
76,283,JRG,204.9700012,30/04/2017
9,13,SB12,393.8800049,31/01/2017
